memberId	tag1	tag2	tag3
member-01	sexy	kind	facial
member-02	dance	vocal	charming
member-03	cute	comfort	face_dog
member-04	elegant	charming	growth
member-05	youthful	stability	talk
member-06	dance	energy	recognition
member-07	healing	energy	stability
member-08	idol_kpop	vocal	cute
member-09	vocal	charisma	gap
member-10	dance	facial	energy
member-11	face_cat	idol_polished	healing
member-12	healing	pure	youthful
member-13	cute	cheer	growth
member-14	face_rabbit	sexy	idol_polished
member-15	face_rabbit	expression	charisma
member-16	sexy	dance	expression
member-17	youthful	healing	presence
member-18	cute	dance	facial
member-19	elegant	energy	expression
member-20	face_cat	cute	energy
member-21	cool	mysterious	charisma
member-22	face_rabbit	cute	
member-23	face_squirrel	energy	youthful
member-24	face_cat	cool	presence
member-25	face_rabbit	cute	growth
member-26	dance	vocal	facial
member-27	pure	expression	presence
member-28	cute	vocal	facial
member-29	facial	youthful	cute
member-30	vocal	energy	charisma
member-31	energy	expression	vocal
member-32	vocal	stability	cute
member-33	cool	charisma	presence
member-34	cool	mysterious	presence
member-35	vocal	energy	cool
member-36	cute	youthful	healing
member-37	cute	healing	growth
member-38	face_squirrel	idol_polished	pure
member-43	face_rabbit	pure	dance
member-44	vocal	expression	pure
member-45	facial	healing	growth
member-46	vocal	talk	elegant
member-47	growth	youthful	stability
member-48	cute	youthful	pure
member-49	face_squirrel	youthful	energy
member-50	face_chick	cute	youthful
member-51	face_rabbit	youthful	charming
member-52	elegant	vocal	mysterious
member-53	youthful	energy	sexy
member-54	face_squirrel	idol_kpop	pure
member-55	youthful	energy	growth
member-56	face_rabbit	charisma	unique
member-57	vocal	energy	cool
member-58	expression	vocal	mysterious
member-59	dance	energy	facial
member-60	face_cat	idol_kpop	facial
member-61	pure	energy	facial
member-62	idol_kpop	pure	facial
member-63	face_squirrel	healing	stability
member-64	elegant	dance	face_cat
member-65	face_rabbit	dance	energy
member-66	pure	face_squirrel	mysterious
member-67	elegant	expression	idol_kpop
member-68	face_rabbit	pure	youthful
member-69	healing	facial	cute
member-70	energy	charisma	vocal
member-71	vocal	expression	youthful
member-72	elegant	facial	dance
member-73	face_squirrel	expression	facial
member-74	charisma	vocal	energy
member-75	expression	stability	cool
member-76	youthful	vocal	facial
member-77	pure	vocal	stability
member-78	vocal	expression	energy
member-79	youthful	vocal	dance
member-80	idol_polished	stability	facial
member-81	elegant	presence	pure
member-82	pure	idol_kpop	facial
member-83	expression	dance	vocal
member-84	stability	vocal	energy
member-85	dance	charisma	energy
member-86	energy	expression	youthful
member-87	face_cat	idol_kpop	facial
member-88	elegant	dance	charisma
member-89	expression	dance	cool
member-90	face_rabbit	facial	vocal
member-91	energy	cute	expression
member-92	vocal	charisma	mysterious
member-93	energy	facial	cool
member-94	pure	vocal	idol_kpop
member-95	facial	elegant	growth
member-96	face_rabbit	healing	facial
member-97	elegant	idol_kpop	energy
member-98	vocal	pure	expression
member-99	dance	expression	presence
member-100	facial	cute	idol_kpop
member-101	cute	growth	energy
member-102	pure	facial	face_cat
member-103	pure	face_cat	youthful
member-104	vocal	cute	comfort
member-105	healing	stability	expression
member-106	vocal	idol_polished	cute
member-107	elegant	energy	sexy
member-108	dance	energy	expression
member-109	idol_kpop	elegant	expression
member-110	vocal	expression	cute
member-111	energy	vocal	cool
member-112	expression	charisma	unique
member-113	energy	dance	pure
member-114	expression	vocal	facial
member-115	idol_polished	expression	face_rabbit
member-116	dance	expression	energy
member-117	vocal	facial	elegant
member-118	pure	healing	stability
member-119	energy	cool	unique
member-120	face_cat	vocal	energy
member-121	expression	energy	unique
member-122	vocal	energy	charisma
member-123	face_rabbit	facial	energy
member-124	cute	presence	face_cat
member-125	facial	energy	stability
member-126	vocal	facial	energy
member-127	elegant	presence	facial
member-128	cute	dance	energy
member-129	cool	unique	charisma
member-130	pure	vocal	stability
member-131	energy	elegant	facial
member-132	cute	face_rabbit	facial
member-133	pure	idol_polished	vocal
member-134	healing	youthful	growth
member-135	idol_polished	presence	face_squirrel
member-136	face_cat	youthful	pure
member-137	idol_polished	facial	expression
member-138	cool	charisma	vocal
member-139	energy	facial	vocal
member-140	energy	elegant	vocal
member-141	pure	expression	vocal
member-142	vocal	facial	idol_polished
member-143	cute	youthful	growth
member-144	cute	growth	face_squirrel
member-145	healing	facial	growth
member-146	vocal	expression	cool
member-147	expression	facial	elegant
member-148	cool	vocal	sexy
member-149	expression	vocal	stability
member-150	expression	cool	face_cat
member-151	youthful	expression	face_squirrel
member-152	face_cat	vocal	facial
member-153	healing	vocal	stability
member-154	facial	face_cat	cute
member-155	idol_polished	pure	facial
member-156	facial	pure	face_rabbit
member-157	cute	dance	facial
member-158	youthful	face_squirrel	pure
member-159	cute	facial	growth
member-160	pure	growth	face_cat
member-161	pure	healing	face_cat
member-162	pure	expression	youthful
member-163	cute	energy	face_squirrel
member-164	growth	cool	face_squirrel
member-165	cool	growth	energy
member-166	face_cat	energy	facial
member-167	dance	pure	facial
member-168	vocal	youthful	stability
member-169	healing	youthful	vocal
member-170	facial	cool	face_cat
member-171	facial	expression	elegant
member-172	youthful	face_rabbit	facial
member-173	cool	energy	unique
member-174	cute	facial	growth
member-175	face_squirrel	facial	cute
member-176	stability	facial	elegant
member-177	cute	dance	expression
member-178	cool	presence	dance
member-179	dance	expression	energy
member-180	vocal	healing	face_rabbit
member-181	pure	vocal	expression
member-182	energy	vocal	expression
member-183	facial	elegant	growth
member-184	idol_polished	presence	face_cat
member-185	healing	youthful	growth
member-186	energy	cool	unique
member-187	vocal	dance	energy
member-188	idol_polished	vocal	facial
member-189	cool	expression	dance
member-190	dance	vocal	expression
member-191	vocal	cool	expression
member-192	idol_polished	presence_cam	growth
